Index,continent,geographic_location,country,economicActivityFemale,economicActivityMale,gdpPerCapita,illiteracyFemale,illiteracyMale,infantMortality,lifeFemale,lifeMale
80,Oceania,Oceania,French Polynesia,48.5,74.2,19766,2,2,10,75.3,69.8
81,North America,North America,Saint Lucia,48.5,78.9,13942,9.4,10.5,18,74.8,68
82,Asia,Eastern Asia,South Korea,48.7,76.1,47027,3.3,0.7,9,76,68.8
83,Asia,Southern Asia,Nepal,48.7,79.8,4199,86,59.1,82,57.1,57.6
84,Africa,Southern Africa,Namibia,49,68.6,9542,25.2,17.688,60,56.6,54.7
85,Asia,South-eastern Asia,Philippines,49,82.7,9061,5.7,5,35,70.2,66.6
86,North America,North America,Haiti,49,80.3,2962,57.8,52,82,56,52.8
87,Europe,Southern Europe,Portugal,49.2,67,36079,13,7.5,8,78.9,71.8
88,Africa,Middle Africa,Congo,49.2,68.4,4169,32.8,16.9,90,53.4,48.6
89,Oceania,Oceania,New Caledonia,49.9,80.8,19450,7.776,5.346,18,75.9,70.9
90,Asia,Eastern Asia,Japan,50,77.7,44585,1,1,4,82.9,76.9
91,South America,South America,Colombia,50.2,79,15184,8.6,8.8,24,73.7,68.2
92,Europe,Eastern Europe,Russia,50.4,68.1,29485,0.6,0.3,19,71.5,58
93,Africa,Southern Africa,South Africa,50.4,79.6,12442,18.3,18.1,48,68.3,62.3
94,Africa,Western Africa,Togo,50.8,77.5,2261,63,33,86,51.5,48.8
95,Europe,Eastern Europe,Poland,51,66.2,35957,0.3,0.3,13,75.7,66.7
96,Europe,Western Europe,Netherlands Antilles,51.1,69.8,52304,6.12,4.752,10,79.3,73.4
97,Europe,Southern Europe,Slovenia,51.3,64.5,40820,0.432,0.264,7,77.8,69.2
98,Asia,South-eastern Asia,Indonesia,51.3,84.8,12882,22,10.4,48,67,63.3
99,Europe,Eastern Europe,Slovakia,51.4,68.2,34815,3.4,0.3,12,75.8,67
100,Asia,South-eastern Asia,Singapore,51.5,78.7,102742,13.7,4.1,5,79.5,75.1
101,Europe,Northern Europe,Latvia,51.5,69.8,33394,0.3,0.2,16,74.3,62.5
102,Asia,Western Asia,Armenia,52,65,13638,0.5,0.3,25,74,67.2
103,Europe,Eastern Europe,Czech Republic,52.1,71.5,42956,1,1,9,76,69.8
104,North America,North America,Guadeloupe,52.3,66.9,9145,9.576,9.768,8,78.8,72.1
105,Oceania,Oceania,Palau,53,72,12862,3.096,1.386,25,69,65
106,Europe,Northern Europe,United Kingdom,53.5,71.9,47089,1,1,6,79.8,74.5
107,South America,South America,Brazil,53.6,84,15643,16.8,16.7,42,71.2,63.4
108,Oceania,Oceania,Australia,53.8,74,54891,1,1,6,81.2,75.4
109,Europe,Eastern Europe,Bulgaria,53.8,60.7,25471,2.376,0.924,16,74.9,67.8
110,Europe,Northern Europe,Estonia,54.1,71.5,39729,0.2,0.2,12,75,63.9
111,North America,North America,Martinique,54.1,65.7,12717,6.48,7.656,7,80.3,73.7
112,Europe,Northern Europe,Finland,55.4,66.9,51867,0,0,5,80.1,73
113,Asia,Southern Asia,Bangladesh,55.9,88.8,5812,73.9,50.6,78,58.2,58.1
114,Oceania,Oceania,New Zealand,56.2,74.4,44226,1,1,7,79.7,74.7
115,South America,South America,Bolivia,56.3,74.1,8832,24,9.5,66,63.2,59.8
116,Asia,Eastern Asia,Macau,56.4,81.1,90606,14.616,5.412,8,80.1,75.1
117,Europe,Western Europe,Switzerland,56.8,78.5,75880,1,1,5,81.8,75.3
118,Africa,Eastern Africa,Seychelles,57,78.8,26119,15.12,15.18,12,74.1,65.3
119,Europe,Eastern Europe,Ukraine,57.1,69.1,13943,2.16,0.33,18,74,63.6
120,Europe,Eastern Europe,Romania,57.4,72.7,32950,3.1,1.1,24,73.2,66
121,North America,Northern America,Canada,57.6,72.4,51713,35,1,6,81.8,76.1
122,Africa,Western Africa,Benin,57.8,90,3573,74.2,51.3,84,57.2,52.4
123,Asia,Western Asia,Georgia,58,75,15709,0.6,0.3,23,76.7,68.5
124,Africa,Eastern Africa,Ethiopia,58.4,84.7,2973,74.7,54.5,107,51.6,48.4
125,North America,Northern America,United States,59.3,74.9,68309,2.232,2.244,7,80.1,73.4
126,Oceania,Oceania,Guam,60,84,18000,1.2,1.4,10,76.8,72.7
127,Asia,Central Asia,Kyrgyzstan,60,75,5323,0.5,0.3,39,71.9,63.4
128,Asia,Central Asia,Tajikistan,60,75,3856,0.4,0.3,56,70.2,64.2
129,Europe,Western Europe,Netherlands,60.2,81.1,60461,1,1,6,80.6,75
130,Asia,Central Asia,Uzbekistan,61,75,7830,0.4,0.2,43,70.7,64.3
131,Europe,Eastern Europe,Belarus,61.3,76.4,20578,0.6,0.3,15,74.8,64.4
132,North America,North America,Barbados,61.4,73.4,14329,3.2,2,9,78.7,73.6
133,Europe,Eastern Europe,Moldova,61.6,74.9,13879,4.896,1.122,26,71.5,63.5
134,Asia,Central Asia,Turkmenistan,62,78,17415,0.4,0.2,57,68,61.2
135,North America,North America,Jamaica,62.4,74,10294,10.9,19.2,12,76.8,72.4
136,Asia,Central Asia,Kazakhstan,62.8,78.5,27560,0.5,0.3,34,72.5,62.8
137,Europe,Northern Europe,Lithuania,65.1,75.7,40784,0.7,0.4,13,76,64.9
138,Asia,South-eastern Asia,Thailand,65.2,83.8,19004,8.4,4,30,72.3,66.3
139,Europe,Northern Europe,Norway,65.9,76.8,69171,0,0,5,80.6,74.8
140,North America,North America,Bahamas,67,81.2,34046,2,1.5,14,77.1,70.5
141,Oceania,Oceania,Kiribati,68,84,2242,2.7,2.7,65,63,58
142,Africa,Middle Africa,Central African Republic,68.8,87,1013,47.6,31.5,96,51,46.4
143,Europe,Northern Europe,Denmark,72.3,83.2,61478,1,1,7,78.3,73
144,Asia,Eastern Asia,China,72.9,84.9,18931,27.3,10.1,38,71.7,68.2
145,Asia,South-eastern Asia,Vietnam,74.1,81.6,11677,8.8,3.5,37,69.6,64.9
146,Africa,Eastern Africa,Malawi,75.3,80.6,1005,58.2,28.1,142,41.1,40.3
147,Europe,Northern Europe,Sweden,75.6,80,55566,1,1,5,80.8,76.2
148,Africa,Western Africa,Sierra Leone,76,80,1771,81.8,54.6,169,39.1,36
149,Europe,Northern Europe,Iceland,76.8,86.2,58151,1,1,5,81.2,77.4
150,Oceania,Oceania,Vanuatu,79.3,88.6,2646,46.368,34.914,38,69.5,65.5
151,Africa,Western Africa,Burkina Faso,79.4,88.9,2334,90.8,70.5,97,47,45.1
152,Asia,South-eastern Asia,Cambodia,84.7,77.3,4930,13.5,19.5,102,55.4,52.6
153,Oceania,Oceania,Solomon Islands,85,87,2483,31,16.3,23,73.9,69.6
154,Africa,Eastern Africa,Mozambique,86.5,88.2,1293,76.7,42.3,110,48.4,45.5
155,Africa,Eastern Africa,Burundi,90.6,90.1,772,77.5,50.7,114,48.8,45.5
