Id,BldgType,HouseStyle,OverallQual,GrLivArea,SalePrice,Neighborhood,LotArea,TotRmsAbvGrd
891,1Fam,1.5Fin,5,924,122900,NAmes,8064,6
896,1Fam,2Story,6,1796,140000,NAmes,7056,8
901,1Fam,1Story,4,858,110000,NAmes,7340,4
902,1Fam,1Story,5,1306,153000,NAmes,8712,5
906,1Fam,1Story,5,1063,128000,NAmes,9920,6
911,Duplex,2Story,5,2274,154300,NAmes,11600,12
920,1Fam,1Story,6,1414,176500,NAmes,11029,6
932,1Fam,1Story,5,925,117500,NAmes,9100,5
935,1Fam,1Story,7,2069,242000,NAmes,27650,9
947,1Fam,SLvl,5,1144,143000,NAmes,8163,6
951,1Fam,1Story,5,864,129000,NAmes,7200,5
968,1Fam,1Story,5,1098,135000,NAmes,7390,6
970,2fmCon,SLvl,6,1095,140000,NAmes,10382,6
971,1Fam,1.5Fin,4,1192,135000,NAmes,10800,6
981,1Fam,SFoyer,7,999,178400,NAmes,12122,6
993,1Fam,2Story,6,1851,187000,NAmes,9760,7
997,1Fam,1Story,5,1050,136500,NAmes,10659,6
1007,1Fam,1Story,6,1657,163500,NAmes,12155,7
1015,1Fam,1Story,6,1082,119200,NAmes,11664,5
1027,1Fam,1Story,5,1264,167500,NAmes,9300,6
1029,1Fam,1.5Fin,5,1376,105000,NAmes,9492,6
1053,1Fam,2Story,6,1977,165000,NAmes,9500,9
1065,1Fam,1Story,5,1154,154000,NAmes,11000,6
1068,1Fam,2Story,6,1611,167900,NAmes,9760,7
1070,1Fam,1.5Unf,5,893,135000,NAmes,9600,4
1071,1Fam,1Story,5,1048,135000,NAmes,10152,6
1078,1Fam,1Story,5,1096,138800,NAmes,15870,6
1084,1Fam,1Story,6,1251,160000,NAmes,8800,6
1091,Duplex,1Story,3,1040,92900,NAmes,8544,6
1094,1Fam,1Story,5,1200,146000,NAmes,9230,6
1095,1Fam,1Story,5,936,129000,NAmes,5868,4
1102,1Fam,1Story,5,950,119500,NAmes,9758,5
1103,1Fam,1Story,5,1134,135000,NAmes,7000,6
1104,1Fam,1Story,6,1194,159500,NAmes,8910,6
1113,1Fam,1Story,5,816,129900,NAmes,7100,5
1114,1Fam,1Story,5,1008,134500,NAmes,8923,6
1120,1Fam,1Story,5,1040,133700,NAmes,7560,6
1126,1Fam,1Story,4,1005,115000,NAmes,10434,5
1137,1Fam,1.5Fin,6,1252,119000,NAmes,9600,6
1141,1Fam,1Story,5,952,139000,NAmes,7350,4
1151,1Fam,1Story,6,932,124000,NAmes,8280,4
1155,1Fam,2Story,7,1820,201800,NAmes,13700,8
1157,1Fam,SLvl,5,1265,179900,NAmes,9350,6
1172,1Fam,1Story,6,1261,163000,NAmes,9120,6
1201,1Fam,1Story,4,864,116050,NAmes,9353,5
1209,1Fam,1Story,5,1283,140000,NAmes,7763,6
1215,1Fam,SFoyer,5,999,134500,NAmes,10205,6
1221,1Fam,1Story,5,912,115000,NAmes,7800,5
1223,1Fam,1.5Fin,6,1846,143000,NAmes,10496,7
1224,1Fam,1Story,5,2136,137900,NAmes,10680,7
1226,1Fam,SLvl,6,1138,145000,NAmes,10482,6
1228,1Fam,1Story,5,912,147000,NAmes,8872,5
1230,1Fam,SLvl,5,1507,127000,NAmes,7910,7
1232,Duplex,SLvl,5,1190,132500,NAmes,7728,6
1233,Duplex,1Story,4,1224,101800,NAmes,9842,6
1234,1Fam,1Story,5,1188,142000,NAmes,12160,6
1250,1Fam,1Story,5,988,119000,NAmes,7200,6
1251,1Fam,1Story,7,2110,244000,NAmes,11160,8
1260,1Fam,1Story,6,1054,151000,NAmes,9750,6
1262,1Fam,1Story,5,1050,128900,NAmes,9600,5
1265,TwnhsE,1Story,6,1337,181000,NAmes,4060,5
1270,1Fam,1.5Fin,5,1524,144000,NAmes,11344,7
1276,Duplex,2Story,5,1920,137000,NAmes,11345,10
1291,1Fam,SLvl,5,1152,180500,NAmes,14112,6
1296,1Fam,1Story,5,1052,138500,NAmes,8400,5
1297,1Fam,1Story,5,1128,155000,NAmes,8700,6
1300,1Fam,1Story,5,1246,154000,NAmes,7500,6
1316,1Fam,2Story,6,2112,206900,NAmes,11075,9
1321,1Fam,1Story,6,1478,156500,NAmes,8400,6
1341,1Fam,1Story,4,872,123000,NAmes,8294,5
1351,Duplex,2Story,5,2634,200000,NAmes,11643,12
1352,1Fam,2Story,6,1716,171000,NAmes,9247,8
1357,1Fam,1Story,5,892,110000,NAmes,9477,5
1358,1Fam,1Story,5,1078,149900,NAmes,12537,6
1363,1Fam,1.5Fin,4,1738,104900,NAmes,12513,7
1372,1Fam,SLvl,6,1661,165500,NAmes,9600,8
1382,1Fam,1Story,6,2117,237500,NAmes,12925,7
1392,Duplex,1Story,5,1584,124000,NAmes,8944,8
1393,1Fam,SFoyer,5,900,123000,NAmes,7838,6
1399,1Fam,1.5Fin,5,1904,138000,NAmes,7200,7
1412,1Fam,1.5Fin,6,1668,140000,NAmes,9600,6
1413,Duplex,1Story,4,1040,90000,NAmes,7200,6
1419,1Fam,1Story,5,1144,124000,NAmes,9204,6
1425,1Fam,1Story,5,1344,144000,NAmes,9503,6
1426,1Fam,1Story,6,1252,142000,NAmes,10721,7
1428,1Fam,1.5Fin,5,1558,140000,NAmes,10930,6
1436,1Fam,1Story,6,1537,174000,NAmes,8400,7
1437,1Fam,1Story,4,864,120500,NAmes,9000,5
1451,Duplex,2Story,5,1792,136000,NAmes,9000,8
1459,1Fam,1Story,5,1078,142125,NAmes,9717,5
5,1Fam,2Story,8,2198,250000,NoRidge,14260,9
86,1Fam,2Story,8,2417,260000,NoRidge,16059,9
227,1Fam,2Story,7,2520,290000,NoRidge,9950,9
232,1Fam,2Story,8,2794,403000,NoRidge,15138,9
273,1Fam,2Story,8,2270,290000,NoRidge,11764,9
319,1Fam,2Story,7,2646,260000,NoRidge,9900,9
360,1Fam,2Story,8,1924,280000,NoRidge,12011,7
404,1Fam,2Story,8,2263,258000,NoRidge,12090,10
424,1Fam,2Story,8,2630,315000,NoRidge,9200,8
497,1Fam,1Story,8,3228,430000,NoRidge,12692,10
518,1Fam,2Story,7,2344,265000,NoRidge,10208,7
525,1Fam,2Story,7,2398,315750,NoRidge,11787,8
542,1Fam,2Story,8,2285,248000,NoRidge,11000,8
565,1Fam,2Story,7,2295,268000,NoRidge,13346,9
655,1Fam,1Story,8,2113,350000,NoRidge,10437,7
662,1Fam,2Story,8,2448,402000,NoRidge,46589,8
685,1Fam,2Story,7,1839,221000,NoRidge,16770,7
692,1Fam,2Story,10,4316,755000,NoRidge,21535,10
719,1Fam,2Story,7,2418,341000,NoRidge,10542,9
749,1Fam,1Story,7,1720,260400,NoRidge,10593,7
760,1Fam,2Story,8,2531,290000,NoRidge,12257,9
764,1Fam,2Story,8,2365,337000,NoRidge,9430,8
793,1Fam,2Story,7,2013,269790,NoRidge,9920,8
982,1Fam,2Story,8,2612,336000,NoRidge,12203,8
991,1Fam,2Story,8,2392,348000,NoRidge,9452,7
1033,1Fam,2Story,8,2520,310000,NoRidge,14541,10
1058,1Fam,2Story,7,1850,248000,NoRidge,29959,7
1106,1Fam,2Story,8,2622,325000,NoRidge,12256,9
1170,1Fam,2Story,10,3627,625000,NoRidge,35760,10
1176,1Fam,1.5Fin,8,2872,285000,NoRidge,10678,9
1183,1Fam,2Story,10,4476,745000,NoRidge,15623,10
1188,1Fam,1Story,8,1624,262000,NoRidge,12461,5
1257,1Fam,1Story,8,1987,301500,NoRidge,14303,7
1303,1Fam,2Story,8,2526,290000,NoRidge,10120,8
1313,1Fam,2Story,8,2810,302000,NoRidge,9572,9
1314,1Fam,2Story,9,2599,333168,NoRidge,14774,10
1323,1Fam,2Story,7,1923,190000,NoRidge,10186,8
1354,1Fam,1.5Fin,8,3238,410000,NoRidge,14720,9
1374,1Fam,1Story,10,2633,466500,NoRidge,11400,8
1418,1Fam,2Story,8,2450,340000,NoRidge,16545,7
1427,1Fam,2Story,7,2127,271000,NoRidge,10944,5
127,TwnhsE,1Story,6,958,128000,NPkVill,4928,5
196,Twnhs,2Story,6,1456,148500,NPkVill,2280,7
505,TwnhsE,2Story,6,1322,147000,NPkVill,2308,6
551,TwnhsE,1Story,6,1069,140000,NPkVill,4043,4
676,Twnhs,2Story,6,1441,148500,NPkVill,2289,7
963,TwnhsE,2Story,6,1548,155000,NPkVill,2308,7
1161,Twnhs,2Story,6,1456,146000,NPkVill,2280,7
1422,TwnhsE,1Story,6,1069,127500,NPkVill,4043,4
1432,TwnhsE,1Story,6,958,143750,NPkVill,4928,5
12,1Fam,2Story,9,2324,345000,NridgHt,11924,11
21,1Fam,2Story,8,2376,325300,NridgHt,14215,9
26,1Fam,1Story,8,1600,256300,NridgHt,14230,7
28,1Fam,1Story,8,1704,306000,NridgHt,11478,7
35,TwnhsE,1Story,9,1561,277500,NridgHt,7313,6
36,1Fam,2Story,8,2452,309000,NridgHt,13418,9
46,TwnhsE,1Story,9,1752,319900,NridgHt,7658,6
63,TwnhsE,1Story,8,1370,202500,NridgHt,6442,6
66,1Fam,2Story,8,2473,317000,NridgHt,9591,9
152,1Fam,1Story,8,1710,372402,NridgHt,13891,6
162,1Fam,2Story,9,2668,412500,NridgHt,13688,10
163,1Fam,1Story,7,1541,220000,NridgHt,12182,7
168,1Fam,2Story,8,2161,325624,NridgHt,10562,8
200,1Fam,1Story,8,1713,274900,NridgHt,9591,7
225,1Fam,1Story,10,2392,386250,NridgHt,13472,8
239,1Fam,1Story,8,1694,318000,NridgHt,12030,7
279,1Fam,1Story,9,2121,415298,NridgHt,14450,8
283,Twnhs,1Story,7,1314,207500,NridgHt,5063,6
310,1Fam,1Story,9,1944,360000,NridgHt,12378,8
321,1Fam,2Story,9,2596,342643,NridgHt,16259,9
322,1Fam,2Story,8,2468,354000,NridgHt,12099,10
333,1Fam,1Story,8,1629,284000,NridgHt,10655,7
334,TwnhsE,1Story,7,1358,207000,NridgHt,8198,6
344,TwnhsE,1Story,9,1684,266000,NridgHt,8849,6
349,Twnhs,2Story,7,1626,154000,NridgHt,2448,6
350,1Fam,2Story,9,2728,437154,NridgHt,20431,10
351,TwnhsE,1Story,9,1869,318061,NridgHt,7820,6
390,1Fam,2Story,10,2332,426000,NridgHt,12474,9
409,1Fam,2Story,7,2172,280000,NridgHt,14154,9
441,1Fam,1Story,10,2402,555000,NridgHt,15431,10
469,1Fam,1Story,8,1634,250000,NridgHt,11428,7
474,1Fam,1Story,8,1976,440000,NridgHt,14977,7
478,1Fam,2Story,9,2643,380000,NridgHt,13693,9
481,1Fam,1Story,9,1850,326000,NridgHt,16033,8
482,1Fam,1Story,9,1792,374000,NridgHt,11846,6
512,TwnhsE,1Story,7,1368,202665,NridgHt,6792,6
516,1Fam,1Story,10,2020,402861,NridgHt,12220,9
528,1Fam,2Story,9,2713,446261,NridgHt,14948,11
553,1Fam,1Story,8,1717,255500,NridgHt,11146,7
555,1Fam,2Story,7,2046,284000,NridgHt,10625,8
568,1Fam,1Story,7,1535,214000,NridgHt,10171,7
582,1Fam,1Story,8,2042,253293,NridgHt,12704,8
592,1Fam,2Story,10,2296,451950,NridgHt,13478,10
601,1Fam,2Story,8,1904,275000,NridgHt,10927,8
619,1Fam,1Story,9,1828,314813,NridgHt,11694,9
632,Twnhs,1Story,8,1554,209500,NridgHt,4590,6
641,TwnhsE,1Story,8,1518,274000,NridgHt,12677,6
690,TwnhsE,1Story,6,1362,194700,NridgHt,7577,6
708,TwnhsE,1Story,8,1324,254000,NridgHt,6240,6
754,1Fam,2Story,8,2098,275500,NridgHt,10240,8
775,1Fam,1Story,8,1973,395000,NridgHt,14226,9
799,1Fam,2Story,9,3140,485000,NridgHt,13518,11
804,1Fam,2Story,9,2822,582933,NridgHt,13891,12
820,TwnhsE,1Story,7,1358,224000,NridgHt,6371,6
826,1Fam,1Story,10,2084,385000,NridgHt,14803,7
878,1Fam,2Story,9,2224,350000,NridgHt,8834,10
899,1Fam,1Story,9,2364,611657,NridgHt,12919,11
927,1Fam,2Story,8,2374,285000,NridgHt,11999,10
972,Twnhs,2Story,7,1626,173000,NridgHt,2268,6
988,1Fam,1Story,9,1940,395192,NridgHt,10159,8
995,1Fam,1Story,10,1718,337500,NridgHt,12456,7
1043,Twnhs,1Story,6,1306,196000,NridgHt,5381,5
1057,TwnhsE,1Story,7,1364,185850,NridgHt,7052,6
1059,1Fam,2Story,9,2184,335000,NridgHt,11308,10
1110,1Fam,1Story,8,1836,280000,NridgHt,11362,7
1116,1Fam,1Story,8,1734,318000,NridgHt,12085,7
1158,Twnhs,1Story,7,1314,230000,NridgHt,5001,6
1166,1Fam,1Story,7,1502,233170,NridgHt,9541,7
1229,TwnhsE,1Story,9,1702,367294,NridgHt,8769,7
1237,Twnhs,2Story,7,1626,175500,NridgHt,2628,6
1244,1Fam,1Story,10,2076,465000,NridgHt,13891,7
1252,TwnhsE,1Story,7,1405,171750,NridgHt,3136,6
1290,1Fam,2Story,8,1970,281000,NridgHt,11065,8
1306,1Fam,1Story,9,1652,325000,NridgHt,13173,6
1307,TwnhsE,1Story,7,1368,202500,NridgHt,6955,6
1360,1Fam,1Story,9,1980,315000,NridgHt,16737,8
1438,1Fam,1Story,8,1932,394617,NridgHt,12444,7
8,1Fam,2Story,7,2090,200000,NWAmes,10382,7
101,1Fam,1Story,6,1610,205000,NWAmes,10603,6
110,1Fam,1Story,6,1844,190000,NWAmes,11751,7
125,1Fam,1Story,6,1586,181000,NWAmes,17043,7
136,1Fam,1Story,7,1682,174000,NWAmes,10400,7
153,1Fam,2Story,6,1993,190000,NWAmes,14803,8
223,1Fam,2Story,6,1552,179900,NWAmes,11475,6
246,1Fam,1Story,7,1872,241500,NWAmes,10400,6
266,1Fam,1Story,6,1422,175500,NWAmes,12090,7
294,1Fam,2Story,7,2263,235000,NWAmes,16659,9
299,1Fam,2Story,6,1743,175000,NWAmes,11700,7
317,1Fam,2Story,7,2353,260000,NWAmes,13005,10
320,1Fam,SLvl,7,1472,187500,NWAmes,14115,6
339,1Fam,1Story,7,1621,202500,NWAmes,14145,8
365,1Fam,2Story,6,1574,190000,NWAmes,18800,6
422,1Fam,1Story,6,1602,215000,NWAmes,16635,8
456,1Fam,1Story,7,1242,175500,NWAmes,9600,6
472,1Fam,2Story,7,1969,190000,NWAmes,11952,8
488,1Fam,1Story,5,1484,175000,NWAmes,12243,7
517,1Fam,SLvl,6,2119,158000,NWAmes,10448,7
543,1Fam,1Story,7,1680,213250,NWAmes,10140,7
546,1Fam,1.5Fin,7,2183,229000,NWAmes,13837,9
612,1Fam,SLvl,6,1032,148000,NWAmes,10395,6
622,1Fam,2Story,6,2614,240000,NWAmes,10800,9
625,1Fam,2Story,6,1790,165150,NWAmes,10400,8
633,1Fam,1Story,7,1411,82500,NWAmes,11900,6
644,1Fam,2Story,5,1620,152000,NWAmes,10793,7
661,1Fam,2Story,7,1935,197900,NWAmes,12384,7
702,1Fam,1Story,7,1164,140000,NWAmes,9600,6
716,1Fam,1Story,6,1350,165000,NWAmes,10140,7
718,1Fam,1Story,5,1178,157000,NWAmes,10000,5
746,1Fam,2Story,8,2715,299800,NWAmes,8963,11
767,1Fam,2Story,7,1714,196500,NWAmes,10421,7
786,1Fam,1Story,6,1342,161500,NWAmes,9790,7
811,1Fam,1Story,6,1309,181000,NWAmes,10140,5
859,1Fam,1Story,7,1370,152000,NWAmes,10400,6
860,1Fam,2Story,6,2654,250000,NWAmes,11029,9
925,1Fam,1Story,6,1686,207500,NWAmes,10240,7
926,1Fam,1Story,5,1126,175000,NWAmes,15611,6
928,1Fam,2Story,7,1978,176000,NWAmes,9900,9
950,1Fam,1Story,6,1381,197500,NWAmes,9360,5
962,1Fam,2Story,6,2872,272000,NWAmes,12227,11
989,1Fam,2Story,6,2030,195000,NWAmes,12046,8
998,1Fam,1Story,6,1442,185000,NWAmes,11717,6
1004,Duplex,1Story,5,1680,136905,NWAmes,11500,8
1016,1Fam,2Story,8,1665,227000,NWAmes,8400,6
1042,1Fam,2Story,6,1632,173000,NWAmes,9130,7
1045,1Fam,1Story,8,2524,278000,NWAmes,9600,9
1056,1Fam,1Story,6,1523,180000,NWAmes,11361,7
1072,1Fam,2Story,6,1556,154000,NWAmes,11700,8
1081,1Fam,1Story,6,1258,145000,NWAmes,11040,5
1100,1Fam,1Story,7,1601,157000,NWAmes,11880,7
1112,1Fam,2Story,7,1964,205000,NWAmes,10480,8
1142,1Fam,2Story,5,1868,197500,NWAmes,10304,9
1160,1Fam,2Story,6,1876,185000,NWAmes,9120,8
1205,1Fam,1Story,5,1074,153500,NWAmes,10140,6
1243,1Fam,SFoyer,7,1173,170000,NWAmes,10625,6
1246,1Fam,SLvl,6,1868,178000,NWAmes,12090,7
1272,1Fam,1Story,6,1489,185750,NWAmes,9156,7
1277,1Fam,2Story,6,1395,162000,NWAmes,12936,6
1278,1Fam,SLvl,6,1724,197900,NWAmes,17871,7
1287,1Fam,1Story,6,1328,143000,NWAmes,9790,6
1294,1Fam,2Story,7,1664,162900,NWAmes,10140,8
1336,1Fam,1Story,6,1334,167900,NWAmes,9650,6
1337,Duplex,1Story,5,1656,135000,NWAmes,9246,8
1347,1Fam,1Story,7,2156,262500,NWAmes,20781,9
1356,1Fam,SLvl,7,1920,170000,NWAmes,10192,8
1387,1Fam,2Story,7,2784,250000,NWAmes,16692,12
1410,1Fam,2Story,7,2093,215000,NWAmes,20544,7
1421,1Fam,2Story,6,1416,179900,NWAmes,11700,7
1430,1Fam,1Story,6,1440,182900,NWAmes,12546,7
1440,1Fam,SLvl,7,1725,197000,NWAmes,11584,6
1457,1Fam,1Story,6,2073,210000,NWAmes,13175,7
9,1Fam,1.5Fin,7,1774,129900,OldTown,6120,8
49,2fmCon,2Story,4,1452,113000,OldTown,4456,8
64,1Fam,2Story,7,1710,140000,OldTown,10300,9
69,1Fam,1Story,4,747,80000,OldTown,4608,4
75,1Fam,2Story,3,1605,107400,OldTown,5790,8
80,1Fam,2Story,5,1230,110000,OldTown,10440,5
94,2fmCon,2.5Unf,6,2291,133900,OldTown,7200,9
107,1Fam,1Story,4,1047,100000,OldTown,10800,6
108,1Fam,1Story,5,789,115000,OldTown,6000,5
128,1Fam,1.5Unf,5,840,87000,OldTown,4388,5
155,1Fam,1Story,6,1200,125000,OldTown,11340,7
164,1Fam,1.5Unf,4,882,103200,OldTown,5500,4
165,1Fam,1Story,6,1616,152000,OldTown,5400,5
171,1Fam,1.5Fin,5,1382,128500,OldTown,12358,7
180,1Fam,1Story,5,968,100000,OldTown,8520,5
184,1Fam,1.5Fin,7,2082,200000,OldTown,11426,6
186,1Fam,2.5Fin,10,3608,475000,OldTown,22950,12
188,1Fam,1.5Fin,5,1656,135000,OldTown,10410,8
199,1Fam,2.5Fin,6,2229,104000,OldTown,5520,8
203,1Fam,1.5Fin,6,1310,112000,OldTown,7000,6
205,1Fam,1.5Fin,5,1284,110000,OldTown,3500,5
218,1Fam,2Story,4,1328,107000,OldTown,9906,8
242,1Fam,1Story,5,866,110500,OldTown,3880,4
243,1Fam,1.5Fin,5,1440,79000,OldTown,5000,6
247,2fmCon,2Story,6,1928,137000,OldTown,9142,9
260,1Fam,1Story,5,882,97000,OldTown,12702,4
264,1Fam,1.5Fin,5,1316,130000,OldTown,5500,6
265,1Fam,1Story,5,764,73000,OldTown,5232,4
305,1Fam,2.5Fin,7,3493,295000,OldTown,18386,10
313,2fmCon,1.5Fin,5,1118,119900,OldTown,7800,5
315,1Fam,2Story,7,1641,178000,OldTown,9600,6
324,1Fam,1Story,3,1163,126175,OldTown,5820,6
354,1Fam,1Story,6,720,105900,OldTown,8520,5
395,1Fam,1.5Fin,5,1034,109000,OldTown,10134,5
414,1Fam,1Story,5,1028,115000,OldTown,8960,5
426,1Fam,2Story,7,1389,135000,OldTown,3378,6
