age,education,day,month,y,duration
49,primary,9,jun,no,119
37,primary,4,aug,no,315
42,secondary,14,may,no,229
57,tertiary,17,nov,no,123
46,primary,25,aug,no,226
34,tertiary,21,nov,no,8
41,secondary,11,aug,no,155
49,primary,20,jun,no,471
38,primary,13,may,no,531
32,secondary,28,aug,no,85
29,tertiary,28,may,no,399
34,primary,13,jan,no,278
47,tertiary,17,nov,no,55
48,secondary,19,nov,no,442
37,secondary,5,may,no,253
36,secondary,14,aug,no,184
33,secondary,22,aug,no,168
30,tertiary,7,may,no,223
37,tertiary,12,aug,no,63
35,secondary,14,may,no,241
34,tertiary,18,nov,no,123
31,tertiary,16,apr,no,60
34,secondary,25,jul,no,137
46,tertiary,2,feb,no,241
31,tertiary,7,may,no,47
26,primary,28,jul,no,49
32,tertiary,18,nov,no,475
21,secondary,4,jun,no,83
33,tertiary,31,jul,no,192
32,tertiary,7,aug,no,112
31,secondary,25,jun,no,292
37,secondary,7,may,no,207
59,tertiary,7,jul,no,575
32,secondary,17,nov,no,114
29,secondary,23,may,no,353
41,tertiary,17,jun,no,68
40,tertiary,9,feb,no,148
37,secondary,22,jul,no,139
42,tertiary,8,may,no,185
24,secondary,16,may,no,236
36,tertiary,30,apr,yes,555
69,tertiary,29,jul,yes,478
40,secondary,14,may,no,329
56,primary,29,jul,no,324
39,tertiary,17,nov,no,180
34,primary,8,may,no,26
36,tertiary,20,nov,yes,736
44,tertiary,28,aug,no,99
40,primary,14,may,no,166
37,primary,9,jun,no,60
51,primary,12,may,no,51
48,primary,7,jul,no,120
35,secondary,14,nov,no,24
33,secondary,21,may,no,67
54,tertiary,4,feb,no,102
31,tertiary,30,apr,no,228
28,tertiary,30,oct,no,177
35,secondary,3,jul,no,88
35,secondary,22,jul,no,675
53,tertiary,14,jul,no,431
39,primary,9,jul,no,108
42,secondary,18,nov,no,158
31,primary,20,nov,no,21
45,secondary,7,may,yes,1135
32,unknown,6,feb,no,119
28,tertiary,5,feb,no,48
35,secondary,31,jul,no,128
27,secondary,30,jul,no,273
39,secondary,17,jun,no,483
57,secondary,14,may,no,73
45,primary,7,may,no,923
44,tertiary,27,may,yes,412
34,secondary,15,may,no,314
37,secondary,31,jul,no,35
47,secondary,16,apr,no,262
39,secondary,11,may,no,275
37,primary,26,may,no,581
34,secondary,23,may,no,204
46,secondary,29,jan,no,121
26,secondary,2,feb,no,141
59,secondary,13,may,no,61
56,unknown,13,aug,no,71
29,secondary,10,jul,no,270
44,primary,21,feb,no,66
54,secondary,17,nov,no,71
33,secondary,12,may,yes,844
35,tertiary,13,may,no,44
39,primary,21,may,no,173
41,tertiary,20,nov,no,182
29,secondary,5,feb,no,16
44,tertiary,3,jun,no,136
30,secondary,14,may,no,524
31,secondary,2,feb,no,111
49,secondary,1,jun,yes,1460
30,secondary,15,may,no,69
25,secondary,16,nov,yes,330
56,tertiary,8,may,no,209
51,tertiary,21,nov,no,58
31,unknown,6,may,no,158
46,secondary,12,aug,no,235
44,secondary,14,may,no,263
34,secondary,21,apr,no,95
32,secondary,8,may,no,107
48,tertiary,25,jul,no,135
49,secondary,9,jul,no,218
32,tertiary,4,may,no,520
42,primary,8,may,no,186
30,tertiary,14,jan,yes,362
27,tertiary,12,may,no,391
31,secondary,21,may,no,369
46,secondary,18,jun,yes,1255
39,tertiary,20,nov,no,554
38,secondary,28,may,no,188
41,secondary,17,apr,no,261
32,secondary,16,may,no,241
50,tertiary,26,aug,no,19
40,secondary,27,aug,no,158
48,secondary,19,may,no,21
29,secondary,5,jun,no,271
27,secondary,4,jun,no,123
38,tertiary,3,jun,no,662
36,tertiary,20,jun,no,256
58,primary,20,may,no,91
38,secondary,5,feb,no,606
28,secondary,12,may,no,395
46,secondary,10,aug,no,1529
35,secondary,30,jan,no,346
74,tertiary,20,apr,no,268
43,tertiary,7,jul,no,91
40,primary,20,jun,no,6
31,secondary,2,jun,no,115
60,primary,13,apr,no,123
41,tertiary,11,aug,yes,1242
34,secondary,27,may,yes,145
53,primary,28,oct,no,71
38,secondary,28,may,no,97
50,secondary,19,may,no,234
38,secondary,28,jan,no,52
28,secondary,7,may,no,188
37,tertiary,13,aug,yes,287
48,primary,21,nov,yes,609
38,secondary,30,jul,no,698
54,primary,18,jun,no,163
45,tertiary,20,jun,no,50
35,tertiary,20,sep,no,11
33,secondary,29,jan,no,323
44,secondary,19,jun,no,127
38,tertiary,27,aug,no,87
43,tertiary,20,jun,no,351
29,tertiary,7,may,yes,1689
44,secondary,18,jun,no,501
55,tertiary,6,may,no,343
34,tertiary,25,aug,no,115
55,tertiary,19,nov,no,124
32,secondary,8,may,no,231
53,tertiary,13,may,no,322
36,primary,21,may,no,173
47,primary,12,jun,no,188
58,tertiary,17,jul,no,517
26,tertiary,11,nov,yes,166
45,secondary,12,may,no,180
52,tertiary,12,feb,yes,181
36,secondary,7,may,no,332
43,tertiary,18,jul,no,116
43,secondary,2,feb,no,64
35,tertiary,26,aug,no,100
46,secondary,18,nov,no,296
67,primary,17,aug,no,109
47,tertiary,27,mar,no,78
34,tertiary,5,feb,no,71
35,secondary,2,jun,no,97
38,tertiary,27,may,no,142
29,tertiary,6,may,no,827
40,secondary,12,may,no,10
56,secondary,17,aug,no,97
53,secondary,9,may,no,101
31,tertiary,21,apr,yes,242
53,unknown,27,may,no,383
28,secondary,14,may,no,10
47,tertiary,16,jun,no,339
52,primary,4,feb,no,131
40,secondary,20,jun,no,22
37,primary,31,jul,no,15
47,secondary,26,jun,no,174
49,primary,15,may,no,64
53,secondary,16,jun,no,393
41,tertiary,20,jun,no,263
39,secondary,28,jul,no,780
53,secondary,21,nov,no,251
59,secondary,3,feb,no,722
36,secondary,16,jun,no,177
58,primary,19,jun,no,573
33,secondary,14,may,no,234
32,tertiary,18,oct,no,338
34,secondary,28,jan,yes,829
50,tertiary,17,nov,no,666
42,tertiary,20,aug,no,428
72,tertiary,12,jul,no,194
44,primary,6,may,no,158
30,tertiary,8,feb,yes,1133
37,tertiary,30,apr,no,166
30,secondary,23,sep,no,447
57,primary,7,jul,no,261
46,secondary,21,nov,no,220
34,tertiary,17,apr,no,81
44,primary,5,jun,no,105
30,secondary,17,apr,no,461
58,secondary,29,jan,no,522
38,secondary,28,jul,no,78
41,secondary,14,may,no,28
30,tertiary,5,aug,no,299
50,primary,7,may,no,74
44,secondary,30,may,no,613
41,primary,28,may,no,209
59,primary,13,may,no,131
51,secondary,27,aug,no,145
71,secondary,21,aug,yes,534
41,tertiary,19,aug,no,171
33,secondary,20,nov,no,155
46,tertiary,19,oct,no,82
53,primary,15,apr,no,99
36,tertiary,12,aug,yes,239
55,tertiary,16,jun,no,607
34,tertiary,21,aug,no,274
44,secondary,26,may,no,437
39,primary,31,jul,no,80
35,secondary,21,nov,no,21
47,tertiary,16,may,no,433
31,secondary,20,may,no,233
29,unknown,2,nov,yes,46
32,secondary,21,may,no,135
60,secondary,22,aug,no,629
38,tertiary,26,may,no,89
32,tertiary,26,aug,no,520
40,secondary,11,may,yes,666
27,secondary,28,may,no,297
44,primary,18,jun,no,335
64,tertiary,5,feb,no,125
33,secondary,14,may,no,152
57,secondary,7,may,no,361
34,secondary,16,jul,yes,578
58,secondary,28,jan,no,536
56,primary,12,may,no,179
26,secondary,4,jul,no,355
33,tertiary,2,feb,no,62
27,secondary,15,may,no,312
36,secondary,4,jun,no,25
28,secondary,18,may,no,20
24,secondary,15,may,no,191
49,tertiary,20,jun,no,63
33,secondary,3,jun,no,495
66,primary,27,oct,no,515
55,secondary,16,jun,no,73
59,secondary,18,nov,no,84
39,tertiary,1,oct,no,199
51,secondary,23,jul,no,36
51,secondary,9,jun,no,216
48,secondary,28,aug,no,12
47,secondary,6,apr,no,104
45,primary,20,nov,yes,841
49,unknown,20,nov,no,127
59,secondary,22,feb,no,287
60,secondary,28,aug,no,602
52,secondary,2,jun,yes,195
53,secondary,13,aug,no,112
44,tertiary,3,apr,no,345
24,secondary,6,nov,yes,368
34,secondary,28,may,no,88
24,unknown,4,jun,no,1094
36,secondary,30,may,no,140
59,tertiary,17,nov,no,94
27,tertiary,8,jul,no,46
57,secondary,12,may,no,144
29,primary,22,jul,no,189
28,secondary,20,apr,no,230
45,tertiary,9,jul,no,148
47,secondary,13,aug,no,99
37,secondary,27,may,yes,242
44,secondary,2,jun,no,66
56,secondary,12,jun,no,270
38,tertiary,20,nov,yes,888
38,secondary,5,may,no,248
48,secondary,2,feb,no,90
31,primary,10,jul,no,37
29,tertiary,9,jul,no,208
39,primary,9,jun,no,173
29,secondary,27,may,no,92
56,primary,27,may,no,269
64,primary,30,jul,yes,367
28,secondary,13,may,no,165
23,secondary,3,jun,no,277
58,primary,28,aug,no,9
39,secondary,15,jul,no,103
70,primary,4,may,no,794
51,tertiary,16,mar,no,384
41,secondary,19,aug,no,406
44,secondary,13,may,no,244
37,tertiary,5,jun,no,227
40,tertiary,17,apr,no,202
34,secondary,25,jul,no,124
36,unknown,10,aug,yes,304
29,primary,8,jul,no,240
50,tertiary,20,jun,no,155
38,secondary,20,nov,no,267
40,secondary,8,aug,no,204
38,tertiary,4,aug,yes,139
31,tertiary,7,aug,no,165
26,secondary,5,mar,no,84
55,primary,17,jun,no,285
27,tertiary,16,may,no,89
70,secondary,30,oct,yes,196
32,secondary,6,aug,no,85
34,secondary,6,may,no,110
37,tertiary,25,may,no,100
40,secondary,16,jun,no,167
34,tertiary,5,jun,no,18
38,tertiary,30,apr,yes,242
30,secondary,18,aug,no,315
39,tertiary,16,apr,no,166
44,tertiary,21,jul,no,54
41,primary,17,nov,no,158
44,secondary,2,jun,no,130
58,secondary,5,jun,no,133
56,primary,13,nov,yes,271
36,primary,16,jun,no,124
30,secondary,21,nov,no,208
29,primary,27,may,no,170
38,unknown,20,apr,no,59
24,tertiary,12,may,no,157
33,secondary,4,aug,no,307
40,secondary,13,aug,no,409
42,tertiary,23,jul,no,160
44,secondary,12,aug,yes,1735
28,secondary,23,jul,no,158
29,tertiary,12,may,no,322
51,primary,7,aug,no,265
44,secondary,2,jun,no,67
54,secondary,13,may,no,173
33,secondary,7,apr,no,487
56,tertiary,20,nov,no,179
41,secondary,13,may,no,65
49,primary,20,nov,no,182
56,secondary,22,aug,no,105
47,secondary,18,nov,no,75
30,secondary,21,nov,no,108
46,unknown,19,jun,no,235
34,tertiary,21,nov,no,378
31,secondary,21,nov,no,106
47,secondary,26,aug,no,266
57,primary,11,jun,no,201
35,primary,31,jul,no,465
35,tertiary,9,nov,no,111
45,primary,18,jun,no,234
28,tertiary,31,jul,no,59
34,tertiary,16,may,no,489
35,secondary,9,jul,no,128
33,tertiary,29,aug,no,112
28,primary,19,jun,no,153
36,secondary,9,jul,no,482
36,primary,17,apr,no,382
65,primary,1,sep,no,191
43,tertiary,4,jun,yes,156
35,secondary,17,apr,no,54
41,primary,8,may,no,287
39,tertiary,30,may,no,136
40,secondary,7,apr,no,389
48,secondary,29,jul,no,446
40,primary,12,may,no,58
41,secondary,8,jul,no,489
31,secondary,7,may,no,380
37,secondary,8,apr,no,58
33,secondary,30,may,no,287
42,secondary,27,may,no,363
32,primary,4,jul,no,138
33,secondary,16,may,no,145
60,primary,27,may,no,125
30,secondary,26,aug,no,75
35,secondary,12,jun,no,410
29,tertiary,5,may,no,363
44,tertiary,11,jun,no,156
33,tertiary,18,nov,no,88
47,secondary,19,oct,yes,98
38,secondary,27,jan,yes,164
31,tertiary,27,may,no,290
35,primary,24,jul,no,90
36,tertiary,28,aug,no,12
33,primary,8,aug,no,138
28,primary,13,may,no,87
28,tertiary,12,aug,no,150
34,secondary,14,may,no,334
36,secondary,2,jun,no,59
33,secondary,8,aug,no,93
42,secondary,9,jun,no,249
34,unknown,7,may,no,183
42,secondary,9,may,no,190
48,primary,11,jun,no,409
42,secondary,9,jul,no,121
48,secondary,9,jul,no,112
60,secondary,21,aug,no,335
51,primary,5,may,no,529
49,secondary,11,jul,yes,1060
60,primary,13,may,no,65
38,secondary,30,may,no,428
40,primary,5,may,no,962
31,secondary,17,apr,no,654
47,secondary,8,aug,no,57
74,primary,30,sep,no,195
46,secondary,19,nov,no,277
56,secondary,20,apr,no,89
28,secondary,18,jul,no,174
40,secondary,11,may,no,274
51,primary,9,jun,no,86
35,secondary,21,aug,no,114
32,secondary,14,aug,no,153
42,secondary,26,jun,no,190
25,secondary,5,mar,yes,418
49,unknown,5,may,no,241
58,primary,18,mar,no,125
58,secondary,31,jul,yes,644
39,tertiary,23,oct,no,56
30,tertiary,22,aug,no,1809
35,secondary,19,nov,no,168
38,unknown,9,jun,no,176
40,tertiary,18,nov,no,147
49,secondary,26,oct,no,260
33,secondary,25,jul,no,511
39,tertiary,2,jul,yes,194
41,secondary,7,may,no,83
32,tertiary,19,nov,no,231
58,tertiary,15,may,no,288
39,tertiary,12,may,yes,1182
38,tertiary,22,aug,no,242
37,secondary,8,sep,no,9
38,secondary,20,jun,no,24
32,secondary,27,may,no,116
47,tertiary,27,feb,no,204
34,tertiary,3,aug,yes,263
32,tertiary,13,may,yes,440
26,secondary,15,may,no,412
42,unknown,20,apr,no,33
34,secondary,13,may,no,9
57,unknown,28,may,no,74
55,tertiary,11,may,no,51
29,secondary,8,may,no,91
53,unknown,28,jul,no,106
42,secondary,13,may,yes,951
37,unknown,20,may,no,247
34,primary,17,apr,no,345
50,tertiary,8,may,no,393
31,tertiary,4,may,yes,483
22,secondary,5,may,no,147
28,secondary,4,feb,no,66
30,secondary,20,aug,no,696
35,secondary,6,jun,no,461
52,primary,11,aug,no,126
29,tertiary,3,aug,no,1179
28,primary,8,may,no,74
42,tertiary,5,feb,no,276
53,secondary,27,may,yes,1205
41,tertiary,8,may,no,196
59,unknown,5,feb,no,214
57,tertiary,9,may,no,153
55,primary,26,jun,no,464
33,secondary,6,may,no,191
58,secondary,11,may,no,114
41,secondary,11,aug,no,153
60,secondary,11,jul,yes,764
66,tertiary,5,aug,no,177
57,primary,19,aug,no,186
66,secondary,6,feb,yes,751
55,unknown,13,may,no,434
31,secondary,28,may,no,233
51,secondary,21,jul,no,130
30,tertiary,7,aug,no,74
31,unknown,6,jun,no,431
42,tertiary,2,feb,no,142
27,secondary,29,jun,no,8
54,primary,17,apr,no,345
49,secondary,17,nov,no,99
32,secondary,2,jun,no,352
41,primary,2,feb,no,844
43,primary,8,may,no,487
27,secondary,26,may,no,256
30,secondary,25,may,no,157
51,secondary,29,jan,no,273
31,secondary,4,jun,yes,327
48,primary,6,jun,no,201
26,secondary,3,jun,no,953
40,secondary,15,may,no,347
56,tertiary,6,may,no,160
36,secondary,29,aug,no,65
45,secondary,26,may,no,112
52,secondary,30,jul,no,249
40,secondary,20,nov,no,98
39,tertiary,13,may,no,564
41,unknown,19,may,no,142
59,tertiary,22,may,no,239
35,tertiary,8,may,no,278
59,primary,20,nov,no,733
49,secondary,18,may,no,22
40,secondary,2,jun,yes,605
43,primary,20,nov,yes,1154
48,secondary,13,may,no,78
46,secondary,4,feb,no,56
34,secondary,20,aug,no,123
39,secondary,23,apr,yes,522
47,secondary,18,may,no,178
39,primary,4,jun,no,112
33,primary,18,may,no,170
34,secondary,1,apr,no,647
59,primary,31,jul,no,266
59,primary,19,jun,no,140
39,tertiary,3,jun,no,157
32,secondary,30,jan,no,194
